2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,360,322,0,322,336,0,336,317,0,317,268,0,268,244,0,244,0,0,0,1847,1847
Catholic,2,22,St Joseph's College Melbourne,Secondary,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,53,0,53,49,0,49,125,0,125,125,0,125,0,0,0,403,403
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,106,90,0,90,87,0,87,89,0,89,0,0,0,0,0,0,0,0,0,372,372
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,102,0,102,107,0,107,113,0,113,107,0,107,76,0,76,0,0,0,587,587
Catholic,2,28,St Patrick's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,203,225,0,225,198,0,198,208,0,208,204,0,204,142,0,142,0,0,0,1180,1180
Catholic,2,29,St Patrick's School,Primary,O,10,11,21,10,21,31,12,15,27,12,15,27,15,19,34,17,13,30,12,12,24,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
Catholic,2,30,St Alipius' Parish School,Primary,O,20,13,33,25,16,41,27,19,46,24,19,43,21,21,42,19,15,34,16,21,37,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276
Catholic,2,31,St Augustine's Education & Training Centre,Special,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,6,29.6,29.6,29.6
Catholic,2,33,Emmanuel College Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,90,195,108,108,216,95,88,183,65,92,157,92,75,167,61.2,84,145.2,0,0,0,1063.2,1063.2
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,135,135,0,135,135,0,135,135,0,133,133,0,127,127,0,0,0,800,800
Catholic,2,60,St Mary's School,Primary,O,10,7,17,13,16,29,8,13,21,13,13,26,12,11,23,13,13,26,13,8,21,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
Catholic,2,77,Sacred Heart School,Primary,O,23,19,42,14,21,35,24,17,41,15,27,42,15,17,32,24,26,50,20,19,39,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281
Catholic,2,78,St Mary's School,Primary,O,21,30,51,21,23,44,30,23,53,21,29,50,24,27,51,26,24,50,24,31,55,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354
Catholic,2,98,St Michael's School,Primary,O,8,7,15,11,13,24,11,5,16,11,9,20,7,8,15,11,10,21,11,13,24,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Catholic,2,104,St Patrick's School,Primary,O,21,23,44,21,27,48,11,17,28,21.5,13,34.5,16,17,33,16,20,36,8,11,19,0,0,0,242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.5
Catholic,2,106,Presentation College Windsor,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,124,124,0,121,121,0,108,108,0,94,94,0,99,99,0,0,0,657,657
Catholic,2,107,St Mary's School,Primary,O,10,16,26,13,22,35,13,13,26,15,9,24,15,14,29,7,12,19,8,17,25,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
Catholic,2,111,Assumption College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,89,182,97,65,162,82,82,164,101,83,184,101,112,213,100,82,182,0,0,0,1087,1087
Catholic,2,113,St Brendan's School,Primary,O,13,18,31,17,17,34,7,10,17,9,14,23,9,14,23,7,15,22,13,12,25,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
Catholic,2,130,Catholic College Bendigo,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,173,349,139.4,174,313.4,150,168,318,164,151,315,119,153.2,272.2,93.6,106,199.6,0,0,0,1767.2,1767.2
Catholic,2,132,St Augustine's School,Primary,O,17,8,25,7,21,28,14,21,35,18,12,30,12,15,27,17,13,30,16,16,32,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
Catholic,2,139,St Mary's School,Primary,O,28,22,50,21,30,51,22,22.4,44.4,30,20,50,33,22,55,28,23,51,21,28,49,0,0,0,350.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.4
Catholic,2,140,St Aloysius' School,Primary,O,9,13,22,9,16,25,14,8,22,16,12,28,20,16,36,16,11,27,11,16,27,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
Catholic,2,148,St Joseph's School,Primary,O,23,14,37,26,27,53,21,19,40,20,20,40,17,18,35,11,10,21,3,12,15,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Catholic,2,149,Sacre Coeur,Pri/Sec,O,0,15,15,0,16,16,0,21,21,0,19,19,0,28,28,0,40,40,0,41,41,0,0,0,180,0,84,84,0,85,85,0,85,85,0,85,85,0,86,86,0,83,83,0,0,0,508,688
Catholic,2,151,St Joseph's School,Primary,O,7,11,18,4,13,17,6,19,25,11,10,21,12,11,23,13,11,24,7,13,20,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
Catholic,2,152,Sacred Heart School,Primary,O,16,10,26,13,9,22,10,17,27,12,13,25,15,9,24,10,14,24,11.2,14,25.2,0,0,0,173.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2
Catholic,2,153,Sacred Heart School,Primary,O,6,6,12,7,8,15,3,1,4,9,10,19,7,5,12,14,10,24,3,11,14,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Catholic,2,154,St Michael's School,Primary,O,28,21,49,26,23,49,25,19,44,20.6,23,43.6,27,31,58,29,25,54,32,34,66,0,0,0,363.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.6
Catholic,2,156,St Brendan's School,Primary,O,34,29,63,31,32,63,32,34,66,47,34,81,47,34,81,38,35,73,38,37,75,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502
Catholic,2,161,St Mary's College,Pri/Sec,O,10,18,28,11,15,26,18,8,26,13,12,25,10,20,30,10,19,29,15,17,32,0,0,0,196,20,30,50,22,25,47,26,28,54,15,20,35,0,0,0,0,0,0,0,0,0,186,382
Catholic,2,181,St Mary's School,Primary,O,3,1,4,3,2,5,6,0,6,4,5,9,6,3,9,3,0,3,4,3,7,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Catholic,2,183,St Mary's Primary School,Primary,O,10,11,21,11,12,23,8,13,21,11,14,25,17,11,28,8,11,19,15,13,28,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Catholic,2,184,St Patrick's Primary School,Primary,O,32,30,62,41,37,78,39,33,72,39,33,72,44,40,84,41,51,92,30,41,71,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531
Catholic,2,185,St Brigid's School,Primary,O,7,5,12,7.2,9,16.2,4,4,8,7,12,19,7,8,15,9,5,14,4,7,11,0,0,0,95.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2
Catholic,2,187,St Patrick's School,Primary,O,9,8,17,4,5,9,3,3,6,3,3,6,2,7.4,9.4,5,7,12,6,2,8,0,0,0,67.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4
Catholic,2,189,St Michael's School,Primary,O,1,2,3,1,1,2,0,1,1,2,3,5,2,1,3,2,1,3,1,2,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Catholic,2,191,St Mary's School,Primary,O,10,15,25,10,11,21,14,11,25,15,9,24,12,15,27,8,16,24,6,15,21,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
Catholic,2,192,St Augustine's School,Primary,O,6,3,9,5,9,14,8,8,16,3,4,7,11,10,21,6,8,14,7,4,11,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Catholic,2,204,St Monica's School,Primary,O,25,20,45,17,17,34,26,15,41,16.2,22,38.2,29,25,54,13,11,24,28,32,60,0,0,0,296.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.2
Catholic,2,205,St Joseph's School,Primary,O,19,25,44,10,16,26,20,19,39,27,25,52,21,13,34,29,21,50,14,16,30,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
Catholic,2,212,St Brendan's Primary School,Primary,O,1,2,3,3,0,3,5,1,6,1,0,1,0,3,3,2,0,2,3,6,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Catholic,2,219,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,226,226,0,226,226,0,216,216,0,227,227,0,215,215,0,0,0,1335,1335
Catholic,2,227,St Patrick's School,Primary,O,1,4,5,7,2,9,5,1,6,3,3,6,3,3,6,3,2,5,8,4,12,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Catholic,2,236,St Joseph's College Mildura,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,73,140,58,82,140,62.3,61,123.3,68,79,147,51,69,120,43,76.8,119.8,0,0,0,790.1,790.1
Catholic,2,250,Star of the Sea College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,188,0,179,179,0,184,184,0,189,189,0,165,165,0,173,173,0,0,0,1078,1078
Catholic,2,251,St James' School,Primary,O,11,16,27,16,13,29,10,20,30,18,11,29,12,15,27,0,27,27,0,22,22,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Catholic,2,252,St Peter's School,Primary,O,42,49,91,57,39,96,46,42,88,40,42,82,45.4,43,88.4,45.6,51,96.6,51,30,81,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623
Catholic,2,262,St Liborius' School,Primary,O,14,18,32,9,10,19,17,18,35,12,12,24,10,11,21,26,19,45,19,15,34,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
Catholic,2,265,Damascus College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,112,207,69,104,173,85,114,199,84,101,185,61,88,149,66,61,127,0,0,0,1040,1040
Catholic,2,285,St Mary's School,Primary,O,18,11,29,11,7,18,12,10,22,11,7,18,7,7,14,8,10,18,11,10,21,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Catholic,2,286,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,82,143,74,69,143,67,68,135,63,73,136,63,57,120,45.2,50,95.2,0,0,0,772.2,772.2
Catholic,2,289,St Ambrose's School,Primary,O,17,13,30,16,9,25,16,18,34,20,15,35,12,12,24,18,14,32,14,20,34,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
Catholic,2,299,St Joseph's School,Primary,O,3,3,6,1,2,3,2,4,6,2,1,3,1,0,1,2,1,3,1,1,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Catholic,2,324,Sacred Heart School,Primary,O,16,6,22,7,6,13,14,15,29,6,13,19,11,9,20,10,6,16,12,13,25,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Catholic,2,336,St Paul's School,Primary,O,14,15,29,15,12,27,21,28,49,9,16,25,13,13,26,23,25,48,14,12,26,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
Catholic,2,338,St Andrew's School,Primary,O,25,32,57,30,18,48,33,20,53,27,22,49,21,25,46,30,28,58,34,33,67,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378
Catholic,2,353,St Brigid's School,Primary,O,16,18,34,12,11,23,13,15,28,15,15,30,14,17,31,6,15,21,10,16,26,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
Catholic,2,355,Our Lady of Mount Carmel School,Primary,O,23,16,39,22,18,40,20,19,39,22,22,44,21,9,30,23,23,46,15,20,35,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
Catholic,2,367,St Joseph's School,Primary,O,4,3,7,8,5,13,4,2,6,3,6,9,2,5,7,5,6,11,0,3,3,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Catholic,2,368,St Mary's School,Primary,O,1,4,5,5,7,12,4,4,8,4,4,8,3,2,5,0,4,4,2,9,11,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Catholic,2,379,St Mary's School,Primary,O,2,1,3,6,4,10,2,1,3,4,3,7,3,2,5,1,1,2,3,5,8,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Catholic,2,384,FCJ College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,96,39,46,85,46,41,87,28,33,61,30,29,59,19,22,41,0,0,0,429,429
Catholic,2,386,St Patrick's School,Primary,O,31,30,61,33,32,65,27,30,57,32,25,57,17,23,40,28,20,48,24,25,49,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
Catholic,2,401,Sacred Heart Primary School,Primary,O,29,24,53,33,25,58,26,27.6,53.6,28,25,53,24,29,53,24,29,53,26,29,55,0,0,0,378.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.6
Catholic,2,404,Xavier College,Pri/Sec,O,22,20,42,19,16,35,23,20,43,26,12,38,13,8,21,169,0,169,177,0,177,0,0,0,525,235,0,235,235,0,235,235,0,235,239,0,239,235,0,235,237,0,237,0,0,0,1416,1941
Catholic,2,409,St Joseph's School,Primary,O,2,5,7,2,3,5,1,3,4,1,0,1,2,5,7,1,2,3,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Catholic,2,410,St Brigid's School,Primary,C,0,0,0,0,6,6,0,2,2,1,4,5,4,1,5,5,9,14,3,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Catholic,2,411,Marian College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,42,98,48,39,87,41,37,78,47.5,36,83.5,30,36,66,36,32,68,0,0,0,480.5,480.5
Catholic,2,413,Sacred Heart School,Primary,O,4,7,11,3,3,6,3,7,10,3,2,5,5,5,10,6,4,10,6,4,10,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Catholic,2,414,St Bernard's School,Primary,O,15,18,33,13,17,30,13,10,23,13,21,34,18,20,38,11,16,27,12,15,27,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
Catholic,2,445,St Patrick's School,Primary,O,20,7,27,9,9,18,2,17,19,7,13,20,8,7,15,13,14,27,10,8,18,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,101,101,0,111,111,0,103,103,0,112,112,0,89,89,0,0,0,634,634
Catholic,2,468,Sacred Heart School,Primary,O,15,10,25,12,13,25,12,15,27,12,9,21,8,14,22,12,10,22,7,8,15,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,114,257,126,128,254,109,139,248,122,120,242,118,124,242,76,118,194,0,0,0,1437,1437
Catholic,2,477,St Monica's School,Primary,O,9,12,21,9,14,23,10,8,18,9,11,20,14,10,24,7,15,22,17,7,24,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Catholic,2,478,St Augustine's School,Primary,O,22,17,39,16,13,29,9,20,29,19,14,33,14,20,34,12,14,26,17,12,29,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
Catholic,2,486,St Michael & St John's School,Primary,O,21,11,32,16,25,41,24,16,40,28,15,43,15,21,36,15,20,35,17,23,40,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
Catholic,2,495,Trinity College Colac Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,57,120,49,77,126,61,64,125,65,65,130,45,61,106,38.6,48,86.6,0,0,0,693.6,693.6
Catholic,2,496,St Mary's School,Primary,O,11,26,37,20,13,33,8,18,26,13,18,31,15,7,22,19,11,30,10,10,20,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
Catholic,2,500,Kilbreda College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,182,0,183,183,0,176,176,0,176,176,0,170,170,0,145.7,145.7,0,0,0,1032.7,1032.7
Catholic,2,501,Padua College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,167,348,183,164,347,186,159,345,176,166,342,155,159,314,113,143,256,0,0,0,1952,1952
Catholic,2,515,Notre Dame College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,128.8,248.8,155,120,275,131,129,260,136,111.4,247.4,111.4,120.8,232.2,85,105.8,190.8,0,0,0,1454.2,1454.2
Catholic,2,518,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,28,55.6,33,20,53,31,28,59,13,16,29,0,0,0,0,0,0,0,0,0,196.6,196.6
Catholic,2,524,St John's School,Primary,O,13,19,32,8,16,24,18,13,31,17,8,25,8,10,18,12,14,26,7,8,15,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
Catholic,2,525,St Joseph's School,Primary,O,17,17,34,16,12,28,22,24,46,25,18,43,23,21,44,22,12,34,15,18,33,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
Catholic,2,539,St Joseph's School,Primary,O,27,40,67,42,41,83,32,40,72,34,34,68,42,44,86,38,36,74,47,37,84,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
Catholic,2,548,Saint Ignatius College Geelong,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,81,175,104,36,140,75.6,47,122.6,62,50,112,49,43,92,42,35,77,0,0,0,718.6,718.6
Catholic,2,549,St Mary's School,Primary,O,11,15,26,10,10,20,12,15,27,4,14,18,15,16,31,10,14,24,12,15,27,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
Catholic,2,550,St Patrick's School,Primary,O,19,27,46,21,27,48,27,22,49,17,13,30,15,24,39,21,10,31,15,9,24,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
Catholic,2,566,St Monica's Primary School,Primary,O,37,37,74,44,53,97,39,36,75,29,38,67,28,42,70,33,31,64,33,39,72,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
Catholic,2,567,St Patrick's School,Primary,O,20,13,33,10,13,23,6,14,20,5,15,20,4,14,18,18,11,29,12,11,23,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,140,140,0,141,141,0,136,136,0,134,134,0,116,116,0,0,0,815,815
Catholic,2,579,St Joseph's School,Primary,O,6,14,20,15,11,26,10,10,20,12,20,32,10,13,23,11,8,19,7,5,12,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Catholic,2,581,St Mary's School,Primary,O,1,2,3,4,0,4,5,5,10,4,3,7,4,5,9,4,5,9,2,1,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Catholic,2,584,St Mary's School,Primary,O,21,25,46,15,27,42,21,37,58,20,26,46,28,34,62,20,17,37,27,17,44,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335
Catholic,2,586,St Vincent's School,Special,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2.6,8.2,8.2,9.2
Catholic,2,590,Sacred Heart School,Primary,O,22,25,47,20,25,45,26,23,49,28,21,49,26,17,43,4,16,20,7,11,18,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
Catholic,2,594,St Mary's School,Primary,O,11.4,5,16.4,8,10,18,13,12,25,16,8,24,7,19,26,14,14,28,12,9,21,0,0,0,158.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4
Catholic,2,595,St Joseph's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,87,60,60,120,42,45,87,64,59,123,42,63,105,29,50,79,0,0,0,601,601
Catholic,2,599,St Patrick's School,Primary,O,11,11,22,10,9,19,8,7,15,10,9,19,10,11,21,12,7,19,5,14,19,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
Catholic,2,603,St Joseph's School,Primary,O,7,11,18,12,8,20,8,5,13,8,8,16,10,6,16,9,8,17,12,6,18,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Catholic,2,605,St Aloysius College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,99,99,0,101,101,0,87,87,0,112,112,0,98,98,0,0,0,588,588
Catholic,2,607,All Saints Parish School,Primary,O,26,20,46,20,18,38,20,22,42,20,16,36,24,15,39,24,13,37,19,25,44,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
Catholic,2,625,Catholic College Sale,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,79,171.4,73,88,161,101,79,180,74,96,170,69,73,142,49,68,117,0,0,0,941.4,941.4
Catholic,2,646,St Augustine's College,Pri/Sec,O,20.4,14,34.4,17,19,36,18,19,37,18,15.6,33.6,21,14,35,24,11,35,17,25,42,0,0,0,253,16,29,45,22,17,39,18,18,36,14,9,23,14,9,23,7,6,13,0,0,0,179,432
Catholic,2,653,Our Holy Redeemer School,Primary,O,21,11,32,22,17,39,19,22,41,12,15,27,24,17,41,10,12,22,7,14,21,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
Catholic,2,654,Our Lady of Victories School,Primary,C,24,14,38,6,2,8,7,7,14,6,2,8,3,6,9,2,0,2,2,0,2,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Catholic,2,661,Our Lady of the Sacred Heart Primary,Primary,O,2,1,3,4,6,10,1,6,7,2,4,6,3,2,5,2,3,5,3,5,8,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Catholic,2,672,St Joseph's School,Primary,O,5,8,13,0,3,3,1,5,6,5,7,12,10,4,14,6,5,11,8,5,13,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
